x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.8.27,2019-08-27 00:00:00,BC,2019,8,27,17,,8,,26,,0,,0,,0,,0,,,,,,0,,1,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.8.28,2019-08-28 00:00:00,BC,2019,8,28,20.8,,15,,26.5,,0,,0,,0,,0,,,,,,2.8,,0,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.8.29,2019-08-29 00:00:00,BC,2019,8,29,19.5,,11,,28,,0,,0,,0,,0,,,,,,1.5,,0,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.8.30,2019-08-30 00:00:00,BC,2019,8,30,21.8,,16,,27.5,,0,,0,,0,,0,,,,,,3.8,,0,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.8.31,2019-08-31 00:00:00,BC,2019,8,31,20.8,,15.5,,26,,0,,0,,0,,0,,,,,,2.8,,0,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.1,2019-09-01 00:00:00,BC,2019,9,1,19.5,,14,,25,,0,,0,,0,,0,,,,,,1.5,,0,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.2,2019-09-02 00:00:00,BC,2019,9,2,19,,12.5,,25.5,,0,,0,,0,,0,,,,,,1,,0,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.3,2019-09-03 00:00:00,BC,2019,9,3,18.8,,10.5,,27,,6.4,,6.4,,0,,0,,,,,,0.8,,0,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.10,2019-09-10 00:00:00,BC,2019,9,10,14.5,,11.5,,17.5,,1.2,,1.2,,0,,0,,,,,,0,,3.5,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.11,2019-09-11 00:00:00,BC,2019,9,11,14.5,,11,,18,,2.8,,2.8,,0,,0,,,,,,0,,3.5,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.12,2019-09-12 00:00:00,BC,2019,9,12,14.3,,10.5,,18,,4,,4,,0,,0,,,,,,0,,3.7,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.13,2019-09-13 00:00:00,BC,2019,9,13,15,,10,,20,,1.6,,1.6,,0,,0,,,,,,0,,3,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.14,2019-09-14 00:00:00,BC,2019,9,14,14.5,,11,,18,,5,,5,,0,,0,,,,,,0,,3.5,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.15,2019-09-15 00:00:00,BC,2019,9,15,12.5,,11,,14,,4.6,,4.6,,0,,0,,,,,,0,,5.5,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.16,2019-09-16 00:00:00,BC,2019,9,16,11.8,,6.5,,17,,0,,0,,0,,0,,,,,,0,,6.2,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.17,2019-09-17 00:00:00,BC,2019,9,17,11.3,,7.5,,15,,0.8,,0.8,,0,,0,,,,,,0,,6.7,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.18,2019-09-18 00:00:00,BC,2019,9,18,12.3,,8,,16.5,,0,,0,,0,,0,,,,,,0,,5.7,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.19,2019-09-19 00:00:00,BC,2019,9,19,11,,5,,17,,0,,0,,0,,0,,,,,,0,,7,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.20,2019-09-20 00:00:00,BC,2019,9,20,13,,8,,18,,0,,0,,0,,0,,,,,,0,,5,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.21,2019-09-21 00:00:00,BC,2019,9,21,13,,7,,19,,2.6,,2.6,,0,,0,,,,,,0,,5,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.22,2019-09-22 00:00:00,BC,2019,9,22,11.8,,10,,13.5,,4.8,,4.8,,0,,0,,,,,,0,,6.2,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.23,2019-09-23 00:00:00,BC,2019,9,23,11.3,,9,,13.5,,0,T,0,T,0,,0,,,,,,0,,6.7,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.24,2019-09-24 00:00:00,BC,2019,9,24,13.3,,8,,18.5,,0,,0,,0,,0,,,,,,0,,4.7,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.9.30,2019-09-30 00:00:00,BC,2019,9,30,6.3,,2.5,,10,,0,,0,,0,,0,,,,,,0,,11.7,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.10.1,2019-10-01 00:00:00,BC,2019,10,1,5.3,,0,,10.5,,0,,0,,0,,0,,,,,,0,,12.7,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.10.2,2019-10-02 00:00:00,BC,2019,10,2,9,,6,,12,,4,,4,,0,,0,,,,,,0,,9,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.10.3,2019-10-03 00:00:00,BC,2019,10,3,6.5,,4,,9,,3,,3,,0,,0,,,,,,0,,11.5,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.10.4,2019-10-04 00:00:00,BC,2019,10,4,6,,1,,11,,0.4,,0.4,,0,,0,,,,,,0,,12,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.10.5,2019-10-05 00:00:00,BC,2019,10,5,9.8,,5.5,,14,,0,,0,,0,,0,,,,,,0,,8.2,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.10.6,2019-10-06 00:00:00,BC,2019,10,6,7.3,,3,,11.5,,1.8,,1.8,,0,,0,,,,,,0,,10.7,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.10.7,2019-10-07 00:00:00,BC,2019,10,7,11.5,,6,,17,,8.2,,8.2,,0,,0,,,,,,0,,6.5,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.10.8,2019-10-08 00:00:00,BC,2019,10,8,2.8,,1,,4.5,,0,,0,,0,,0,,,,,,0,,15.2,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.10.9,2019-10-09 00:00:00,BC,2019,10,9,-0.5,,-4,,3,,0,,0,,0,,0,,,,,,0,,18.5,,,,,
-120.172,50.62961111111111,KAMLOOPS PRATT ROAD,116C8P0,116C8P0.2019.10.10,2019-10-10 00:00:00,BC,2019,10,10,0.5,,-5,,6,,0,,0,,0,,0,,,,,,0,,17.5,,,,,
